S;I;R;S->I;I->R;I->S;R->S;a;b;c;e;R0
151122;1692;7186;871;706;188;682;0.000003;0.417258;0.064749;0.094907;1.130725
151121;1669;7210;836;644;204;719;0.000003;0.385860;0.075066;0.099723;1.150574
151208;1657;7135;860;654;199;736;0.000003;0.394689;0.072696;0.103153;1.175023
151283;1664;7053;836;659;192;689;0.000003;0.396034;0.069688;0.097689;1.140922
151328;1649;7023;841;647;205;679;0.000003;0.392359;0.075541;0.096682;1.152453
151371;1638;6991;818;637;175;658;0.000003;0.388889;0.065290;0.094121;1.162225
151386;1644;6970;875;671;186;721;0.000004;0.408151;0.066961;0.103443;1.183981
151418;1662;6920;830;655;203;764;0.000003;0.394103;0.074005;0.110405;1.127308
151555;1634;6811;807;664;193;671;0.000003;0.406365;0.070117;0.098517;1.094270
151612;1584;6804;855;625;177;688;0.000004;0.394571;0.067652;0.101117;1.232384
151622;1637;6741;785;652;178;658;0.000003;0.398290;0.065427;0.097612;1.091254
151673;1592;6735;797;670;174;659;0.000003;0.420854;0.063299;0.097847;1.090798
151709;1545;6746;798;600;203;696;0.000003;0.388350;0.080366;0.103172;1.162182
151810;1540;6650;819;598;209;631;0.000004;0.388312;0.083015;0.094887;1.189216
151831;1552;6617;807;604;185;634;0.000003;0.389175;0.072811;0.095814;1.186076
151843;1570;6587;797;608;177;627;0.000003;0.387261;0.069079;0.095187;1.172181
151850;1582;6568;768;630;193;689;0.000003;0.398230;0.073414;0.104903;1.084539
151964;1527;6509;767;624;169;634;0.000003;0.408644;0.065448;0.097404;1.115508
152000;1501;6499;716;607;196;649;0.000003;0.404397;0.077774;0.099862;1.041377
152129;1414;6457;746;561;171;640;0.000003;0.396747;0.072954;0.099117;1.181344
152194;1428;6378;711;578;183;633;0.000003;0.404762;0.076281;0.099247;1.088129
152299;1378;6323;736;548;186;653;0.000004;0.397678;0.081300;0.103274;1.171483
152402;1380;6218;787;548;177;590;0.000004;0.397101;0.077328;0.094886;1.261982
152382;1442;6176;723;570;161;643;0.000003;0.395284;0.067517;0.104113;1.137535
152463;1434;6103;748;581;182;653;0.000003;0.405160;0.075496;0.106997;1.138868
152550;1419;6031;724;583;164;597;0.000003;0.410853;0.068090;0.098989;1.117326
152587;1396;6017;709;564;179;553;0.000003;0.404011;0.076420;0.091906;1.108491
152610;1362;6028;732;554;167;623;0.000004;0.406755;0.072740;0.103351;1.175133
152668;1373;5959;711;556;153;586;0.000003;0.404953;0.066309;0.098339;1.151619
152696;1375;5929;738;547;181;627;0.000004;0.397818;0.079269;0.105751;1.178822
152766;1385;5849;706;573;153;576;0.000003;0.413718;0.064766;0.098478;1.115784
152789;1365;5846;703;555;157;580;0.000003;0.406593;0.068253;0.099213;1.135789
152823;1356;5821;703;514;172;591;0.000003;0.379056;0.078763;0.101529;1.185587
152883;1373;5744;692;534;171;597;0.000003;0.388929;0.076106;0.103935;1.134255
152959;1360;5681;672;560;157;589;0.000003;0.411765;0.067907;0.103679;1.077536
153033;1315;5652;667;531;151;533;0.000003;0.403802;0.068461;0.094303;1.122926
153050;1300;5650;637;522;161;535;0.000003;0.401538;0.074117;0.094690;1.076937
153109;1254;5637;657;513;159;615;0.000003;0.409091;0.074924;0.109101;1.131171
153226;1239;5535;647;511;154;555;0.000003;0.412429;0.073031;0.100271;1.123224
153288;1221;5491;644;466;161;554;0.000003;0.381654;0.081535;0.100892;1.188568
153359;1238;5403;627;485;148;539;0.000003;0.391761;0.072714;0.099759;1.137616
153419;1232;5349;669;491;124;543;0.000004;0.398539;0.060537;0.101514;1.233593
153417;1286;5297;666;521;152;497;0.000003;0.405132;0.070311;0.093827;1.136007
153400;1279;5321;701;512;180;577;0.000004;0.400313;0.084397;0.108438;1.179398
153456;1288;5256;689;506;163;507;0.000003;0.392857;0.076836;0.096461;1.187478
153437;1308;5255;645;534;161;538;0.000003;0.408257;0.072837;0.102379;1.068838
153491;1258;5251;656;499;149;520;0.000003;0.396661;0.071461;0.099029;1.161184
153504;1266;5230;670;515;145;535;0.000003;0.406793;0.067942;0.102294;1.161956
153514;1276;5210;657;514;169;526;0.000003;0.402821;0.079093;0.100960;1.113567
153552;1250;5198;648;510;134;520;0.000003;0.408000;0.063462;0.100038;1.145730
153558;1254;5188;670;472;154;554;0.000003;0.376396;0.076583;0.106785;1.228987
153596;1298;5106;670;528;150;456;0.000003;0.406780;0.068554;0.089307;1.131206
153532;1290;5178;694;514;143;558;0.000004;0.398450;0.066683;0.107764;1.205351
153539;1327;5134;658;541;165;493;0.000003;0.407687;0.073649;0.096026;1.073516
153539;1279;5182;630;533;133;510;0.000003;0.416732;0.060653;0.098418;1.075234
153552;1243;5205;639;534;147;564;0.000003;0.429606;0.067456;0.108357;1.077665
153624;1201;5175;639;454;154;471;0.000003;0.378018;0.079755;0.091014;1.210511
153610;1232;5158;614;461;171;515;0.000003;0.374188;0.086862;0.099845;1.125926
153682;1214;5104;615;473;145;504;0.000003;0.389621;0.072904;0.098746;1.140298
153716;1211;5073;630;475;144;522;0.000003;0.392238;0.072269;0.102898;1.165749
153752;1222;5026;645;497;152;523;0.000003;0.406710;0.073797;0.104059;1.143109
153782;1218;5000;685;485;130;478;0.000004;0.398194;0.064232;0.095600;1.265364
