S;I;R;S->I;I->R;I->S;R->S;a;b;c;e;R0
154598;1068;4334;553;416;141;437;0.000003;0.389513;0.080598;0.100831;1.139907
154623;1064;4313;569;414;141;434;0.000003;0.389098;0.080956;0.100626;1.177251
154629;1078;4293;531;429;138;424;0.000003;0.397959;0.077070;0.098765;1.072962
154660;1042;4298;561;410;132;426;0.000003;0.393474;0.076834;0.099116;1.184280
154657;1061;4282;574;418;133;419;0.000003;0.393968;0.075968;0.097851;1.190990
154635;1084;4281;600;405;126;401;0.000004;0.373616;0.072808;0.093670;1.282880
154562;1153;4285;571;473;132;405;0.000003;0.410234;0.067519;0.094516;1.073052
154528;1119;4353;600;465;145;458;0.000003;0.415550;0.075733;0.105215;1.130063
154531;1109;4360;605;438;149;431;0.000004;0.394950;0.081292;0.098853;1.186043
154506;1127;4367;598;473;141;473;0.000003;0.419698;0.072602;0.108312;1.116148
154522;1111;4367;623;434;142;476;0.000004;0.390639;0.077884;0.108999;1.239289
154517;1158;4325;636;474;138;438;0.000004;0.409326;0.070391;0.101272;1.185514
154457;1182;4361;613;484;131;426;0.000003;0.409475;0.065447;0.097684;1.131182
154401;1180;4419;644;467;146;433;0.000004;0.395763;0.074762;0.097986;1.201965
154336;1211;4453;631;495;151;436;0.000003;0.408753;0.073723;0.097912;1.119599
154292;1196;4512;622;468;148;474;0.000003;0.391304;0.075324;0.105053;1.155753
154292;1202;4506;607;509;136;424;0.000003;0.423461;0.065232;0.094097;1.071580
154245;1164;4591;573;463;138;483;0.000003;0.397766;0.071399;0.105206;1.088391
154293;1136;4571;585;450;141;448;0.000003;0.396127;0.074953;0.098009;1.133593
154297;1130;4573;583;475;133;447;0.000003;0.420354;0.068224;0.097748;1.095012
154294;1105;4601;578;458;112;449;0.000003;0.414480;0.059347;0.097587;1.144767
154277;1113;4610;625;423;128;438;0.000004;0.380054;0.071297;0.095011;1.290297
154218;1187;4595;592;464;124;448;0.000003;0.390901;0.063630;0.097497;1.138394
154198;1191;4611;575;517;127;460;0.000003;0.434089;0.060345;0.099761;1.013186
154210;1122;4668;592;435;124;474;0.000003;0.387701;0.067669;0.101542;1.202187
154216;1155;4629;579;467;144;468;0.000003;0.404329;0.074265;0.101102;1.086724
154249;1123;4628;552;439;143;467;0.000003;0.390917;0.077559;0.100908;1.088352
154307;1093;4600;543;416;139;454;0.000003;0.380604;0.078770;0.098696;1.121366
154357;1081;4562;538;447;122;490;0.000003;0.413506;0.066191;0.107409;1.075433
154431;1050;4519;486;447;129;422;0.000003;0.425714;0.070555;0.093383;0.966307
154496;960;4544;539;384;122;487;0.000004;0.400000;0.076250;0.107174;1.220915
154566;993;4441;484;419;117;458;0.000003;0.421954;0.068108;0.103130;1.029559
154657;941;4402;474;385;113;442;0.000003;0.409139;0.070954;0.100409;1.085460
